N;gmean(error_u);max(error_u);gmean(error_estimator_u);max(error_estimator_u);min(effectivity_u);gmean(effectivity_u);max(effectivity_u)
1;0.2877883066598977;1.171130236348914;0.35535123219073067;1.503772811887648;1.0008077049962165;1.2347660553515032;1.798755917107016
2;0.0010144097689324702;0.008001570399036442;0.0016336548310610039;0.009937077754976075;1.001299738681963;1.6104486383054117;2.327922018623538
3;5.496414546485972e-06;0.0001574048749107146;8.872404529759302e-06;0.00023957801447813926;1.0013036566769702;1.6142167688992213;2.3278493977104415
4;1.0417296880629693e-07;7.399945581841181e-06;2.1740732025957873e-07;1.128384751940805e-05;1.0050160467318967;2.0869840108313786;33.79656217881068
