N;gmean(error_output);max(error_output);gmean(error_estimator_output);max(error_estimator_output);min(effectivity_output);gmean(effectivity_output);max(effectivity_output)
1;0.08282210945032878;1.371546030490664;0.12627449821947057;2.261332669772484;1.0016160623797765;1.5246472114454133;3.23552284932771
2;1.029027210018327e-06;6.402512884262634e-05;2.6688281070489566e-06;9.874551430844036e-05;1.0026011666019046;2.593544739211926;5.419220942598192
3;3.0216788680980136e-11;2.4776300122653083e-08;7.871956213969339e-11;5.7397625021287505e-08;1.0026086169692199;2.605159766340185;5.419091948229914
4;1.3277115978192222e-14;5.476419318029002e-11;4.726594290245103e-14;1.273252148412512e-10;1.0083010514665192;inf;inf
