N;gmean(relative_error_output);max(relative_error_output)
1;0.1899503634769029;0.6262783614400322
2;2.3600472611462645e-06;2.1129780643246796e-05
3;6.930142242391447e-11;2.5350136235508275e-08
4;2.991315921602951e-14;6.803361502480701e-11
