N;gmean(relative_error_u);max(relative_error_u)
1;0.43583295363767705;0.7913775088034992
2;0.0015362445087639801;0.0045967141139047285
3;8.323891314469051e-06;0.00015921726689698627
4;1.577618396348164e-07;8.24835378164517e-06
