N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;1.7524571733590848;5.100393500554234;11.532750828739005
2;1.1437124855678307;5.421616102768207;15.042365922807866
3;0.19285743455819182;5.0754887507673425;10.915135363946828
4;1.835921687227409;5.399465857740425;11.76761244835012
