N;min(speedup_output_and_estimate_error_output);gmean(speedup_output_and_estimate_error_output);max(speedup_output_and_estimate_error_output)
1;1.0415164124128888;2.178675619849881;3.5666191583620024
2;0.6927859335110611;2.2610626069016;5.332704591363736
3;0.2095682452825191;2.1879678316623097;4.0286045236517625
4;0.8006517705723695;2.3247263266195817;4.867387975631441
