N;min(speedup_solve_and_estimate_error);gmean(speedup_solve_and_estimate_error);max(speedup_solve_and_estimate_error)
1;1.5507316550331447;3.6147610412924673;6.318560022623642
2;1.330044704856699;3.851367641807689;8.343133998645357
3;0.2415274629482997;3.719917415810703;6.104845832350847
4;0.9470179472081126;4.007501199605039;6.890016391938608
