N;min(speedup_output);gmean(speedup_output);max(speedup_output)
1;1.2357079801443724;3.7962580589408645;8.547757932698703
2;1.1456294885272815;4.024892705092594;10.252733447039915
3;0.20716597701025843;3.834333276227803;7.788109788076544
4;0.8749975906264348;4.012401951187352;7.399581318224729
